run_id,clock_div0,clock_div1,desired_baud,bw_offsets,enabled,notes
d18_d16_b100k,18,16,100000,,1,phase1_broad_initial_sweep
d22_d20_b100k,22,20,100000,,1,phase1_broad_initial_sweep
d24_d22_b100k,24,22,100000,,1,phase1_broad_initial_sweep
d26_d24_b100k,26,24,100000,,1,phase1_broad_initial_sweep
d26_d22_b100k,26,22,100000,,1,phase1_broad_initial_sweep
d28_d26_b100k,28,26,100000,,1,phase1_broad_initial_sweep
d28_d24_b100k,28,24,100000,,1,phase1_broad_initial_sweep
d28_d22_b100k,28,22,100000,,1,phase1_broad_initial_sweep
d30_d28_b100k,30,28,100000,,1,phase1_broad_initial_sweep
d30_d26_b100k,30,26,100000,,1,phase1_broad_initial_sweep
d30_d24_b100k,30,24,100000,,1,phase1_broad_initial_sweep
d32_d30_b100k,32,30,100000,,1,phase1_broad_initial_sweep
d32_d28_b100k,32,28,100000,,1,phase1_broad_initial_sweep
d32_d26_b100k,32,26,100000,,1,phase1_broad_initial_sweep
d34_d32_b100k,34,32,100000,,1,phase1_broad_initial_sweep
d34_d30_b100k,34,30,100000,,1,phase1_broad_initial_sweep
d34_d28_b100k,34,28,100000,,1,phase1_broad_initial_sweep
d36_d34_b100k,36,34,100000,,1,phase1_broad_initial_sweep
d36_d32_b100k,36,32,100000,,1,phase1_broad_initial_sweep
d36_d30_b100k,36,30,100000,,1,phase1_broad_initial_sweep
d38_d36_b100k,38,36,100000,,1,phase1_broad_initial_sweep
d38_d34_b100k,38,34,100000,,1,phase1_broad_initial_sweep
d38_d32_b100k,38,32,100000,,1,phase1_broad_initial_sweep
d38_d30_b100k,38,30,100000,,1,phase1_broad_initial_sweep
d40_d38_b100k,40,38,100000,,1,phase1_broad_initial_sweep
d40_d36_b100k,40,36,100000,,1,phase1_broad_initial_sweep
d40_d34_b100k,40,34,100000,,1,phase1_broad_initial_sweep
d42_d40_b100k,42,40,100000,,1,phase1_broad_initial_sweep
d42_d38_b100k,42,38,100000,,1,phase1_broad_initial_sweep
d42_d36_b100k,42,36,100000,,1,phase1_broad_initial_sweep
